"","Date","Test.name","Dilution.percent","n","SS","Velocity","SV30.intercept","SV30.slope","SV30","DSVI","Velocity.intercept","Velocity.slope","Concentration","NewVelocity"
"1","03.11.2022","Egå",50,2,3.944,2.14193859508118,209.259124752107,-0.050588135785815,118.200480337641,59.9393916519476,418.59701012699,-2.14193859508118,1.972,7.71097894229225
"2","03.11.2022","Egå",75,1.333,3.944,1.16965506151001,380.620999471298,-0.124875077093185,155.845860703565,52.6730558615245,360.62780413283,-1.16965506151001,2.958,4.21075822143604
"3","03.11.2022","Egå",100,1,3.944,0.723977188197373,531.63714310862,-0.145564470341566,269.621096493801,68.3623469811869,353.992660550459,-0.723977188197373,3.944,2.60631787751054
"4","01.11.2022","Frederecia",50,2,5.1,1.07832898172324,155.47314786015,1.31369606535437e-16,155.47314786015,60.9698619059412,326.926892950392,-1.07832898172324,2.55,3.88198433420366
"5","01.11.2022","Frederecia",75,1.333,5.1,0.495629533196951,631.323573581146,-0.189830193654266,289.629225003467,75.7011288097297,337.773479635485,-0.495629533196951,3.825,1.78426631950902
"6","01.11.2022","Frederecia",100,1,5.1,0.133770718232045,1196.18164704139,-0.282630825850399,687.446160510675,134.793364806015,401.542817679558,-0.133770718232045,5.1,0.481574585635362
"7","31.10.2022","Hirtshals",50,2,4.6,1.34479072444701,238.628617622048,-0.072314693682322,108.462168993869,47.1574647799431,359.416413123921,-1.34479072444701,2.3,4.84124660800924
"8","31.10.2022","Hirtshals",75,1.333,4.6,0.92857142857143,199.411211385843,5.98533556979784e-16,199.411211385844,57.7859010385502,356.142857142858,-0.92857142857143,3.45,3.34285714285715
"9","31.10.2022","Hirtshals",100,1,4.6,0.330864530029627,578.257553906359,-0.094694193901777,407.808004883161,88.653914105035,358.254421402281,-0.330864530029627,4.6,1.19111230810666
"10","31.10.2022","Hjørring",50,2,5.1,1.18395142763374,155.473147860149,2.82819293043664e-16,155.47314786015,60.9698619059412,355.610764686577,-1.18395142763374,2.55,4.26222513948146
"11","31.10.2022","Hjørring",75,1.333,5.1,0.696255888916442,287.287338437232,9.13803353892394e-16,287.287338437234,75.0890239483985,335.577981651377,-0.696255888916442,3.825,2.50652120009919
"12","31.10.2022","Hjørring",100,1,5.1,0.202003680228993,778.100146355407,-0.14733404407589,512.898867018805,100.568405297805,356.073877189396,-0.202003680228993,5.1,0.727213248824375
"13","27.10.2022","Mariagerfjord",50,2,2.7,1.48114497065209,111.535084334456,-2.29600559891171e-16,111.535084334455,82.6185809884855,361.574817078074,-1.48114497065209,1.35,5.33212189434752
"14","27.10.2022","Mariagerfjord",100,1,2.7,0.805851723282918,337.461817328991,-0.029322222278375,284.681817227915,105.437710084413,365.752293577982,-0.805851723282918,2.7,2.9010662038185
"15","09.11.2022","Silkeborg",50,2,6.5,0.513235516563305,553.703382724875,-0.107752274027311,359.749289475715,110.692089069451,362.03312660717,-0.513235516563305,3.25,1.8476478596279
"16","09.11.2022","Silkeborg",75,1.333,6.5,0.053059381350192,1356.71784876797,-0.298774201197236,818.924286612943,167.942472931547,318.592233009709,-0.053059381350192,4.875,0.191013772860691
"17","11.11.2022","Skagen",50,2,6.18,0.752631578947369,243.34927491154,-4.89664226433568e-16,243.349274911539,78.7538106509836,328.784210526316,-0.752631578947369,3.09,2.70947368421053
"18","11.11.2022","Skagen",75,1.333,6.18,0.182906454953401,679.395018759224,-0.101905602083146,495.964935009561,106.977549897693,340.456057991026,-0.182906454953401,4.635,0.658463237832244
"19","11.11.2022","Skagen",100,1,6.18,0.348214285714294,1529.75656143217,-0.401632545115344,806.817980224555,130.553071233747,865.812500000015,-0.348214285714294,6.18,1.25357142857146
"20","02.11.2022","Viborg",50,2,4.57,1.32954545454546,406.880392159893,-0.154866249461628,128.121143128963,56.0705221570953,375.579545454546,-1.32954545454546,2.285,4.78636363636366
"21","02.11.2022","Viborg",75,1.333,4.57,1.07274981403422,243.349274911539,2.28773134021078e-16,243.349274911539,70.9813092903898,371.02385321101,-1.07274981403422,3.4275,3.86189933052319
"22","02.11.2022","Viborg",100,1,4.57,0.471483604246925,573.104295787664,-0.136597710671136,327.228416579619,71.6035922493696,360.29797362899,-0.471483604246925,4.57,1.69734097528893
"23","03.11.2022","Viby",50,2,3.6,1.22504156094147,111.535084334455,7.63471615368702e-17,111.535084334455,61.9639357413641,344.823694111471,-1.22504156094147,1.8,4.41014961938929
"24","03.11.2022","Viby",75,1.333,3.6,1.08153078202995,155.47314786015,0,155.47314786015,57.5682516937722,342.130338325014,-1.08153078202995,2.7,3.89351081530782
"25","03.11.2022","Viby",100,1,3.6,0.603459177980289,650.367746440632,-0.216083900863989,261.416724885452,72.6157569126255,344.745657429794,-0.603459177980289,3.6,2.17245304072904
"26","27.10.2022","Mariagerfjord",75,1.333,2.7,0.943864229765016,393.701331074797,-0.14843845646998,126.512109428833,62.4594969883833,331.91906005222,-0.943864229765016,2.025,3.39791122715406
"27","10.11.2022","Randers",50,2,3.263,0.945847829375287,314.275283226604,-0.090185154581479,151.942004979942,93.1302512901881,345.153380729088,-0.945847829375287,1.6315,3.40505218575103
"28","10.11.2022","Randers",75,1.333,3.263,0.755380200860834,472.386360426168,-0.14897846981345,204.225114761958,83.4299963155653,335.030846484936,-0.755380200860834,2.44725,2.719368723099
"29","10.11.2022","Randers",100,1,3.263,0.513235516563305,810.02010308841,-0.265125328019585,332.794512653158,101.990350184848,362.03312660717,-0.513235516563305,3.263,1.8476478596279
"30","31.01.2023","Viborg",10,10,0.02,3.11260932944606,111.535084334456,-2.06187031923435e-16,111.535084334455,55767.5421672276,685.368804664723,-3.11260932944606,0.002,11.2053935860058
"31","31.01.2023","Viborg",20,5,0.54,1.70127999184069,111.535084334456,-2.06187031923435e-16,23.65,218.981481481481,473.782834850455,-1.70127999184069,0.108,6.12460797062648
"32","31.01.2023","Viborg",30,3.33333333333333,0.78,1.68303571428572,171.219032750142,-0.025123290426623,125.997109982221,538.449187958209,435.071428571429,-1.68303571428572,0.234,6.05892857142859
"33","31.01.2023","Viborg",40,2.5,0.96,1.08833684210526,213.216479222927,-0.039198131010096,142.659843404754,371.510008866547,355.668154385965,-1.08833684210526,0.384,3.91801263157894
"34","31.01.2023","Viborg",50,2,1.34,1.1413554319446,329.025214320174,-0.081376022474637,182.548373865829,272.460259501237,399.927619480077,-1.1413554319446,0.67,4.10887955500056
"35","31.01.2023","Viborg",60,1.66666666666667,1.92,1.01396604324521,315.569971275396,-0.092831347594979,148.473545604434,128.88328611496,355.864126795148,-1.01396604324521,1.152,3.65027775568276
"36","31.01.2023","Viborg",80,1.25,2.28,0.613013442867812,408.514793454836,-0.082794956853084,259.483871119285,142.260894253994,322.383028379388,-0.613013442867812,1.824,2.20684839432412
"37","31.01.2023","Viborg",100,1,3.54,0.210174971418869,771.199147179814,-0.192292068896341,425.0734231664,120.077238182599,330.338327632935,-0.210174971418869,3.54,0.756629897107928
