"","Date","Dilution.percent","n","SS","Velocity","velocity.slope","Velocity.intercept","SV30.intercept","SV30.slope","SV30","DSVI","Concentration","NewVelocity","Vesilindprediction12.12","Vesilindprediction09.01","Vesilindprediction14.02","Manual DSVI","Manual SVI"
"1",2022-09-16,40,2.5,2.716,1.18395142763374,-1.18395142763374,364.316540859863,155.47314786015,2.29050197283496e-16,155.47314786015,143.108567617958,1.0864,4.26222513948146,NA,NA,NA,147.275405007364,NA
"2",2022-09-20,40,2.5,2.324,1.18395142763374,-1.18395142763374,377.316540859863,277.162391818387,-0.064401194602526,161.240241533841,173.451206469278,0.9296,4.26222513948146,NA,NA,NA,161.359724612737,NA
"3",2022-09-21,40,2.5,2.276,1.75352806038727,-1.75352806038727,468.55759763702,155.47314786015,2.29253841860778e-16,155.47314786015,170.774547298056,0.9104,6.31270101739417,NA,NA,NA,164.762741652021,NA
"4",2022-09-22,40,2.5,2.448,1.63688992522313,-1.63688992522313,462.37316073008,297.228469088817,-0.086451784712167,141.615256606916,144.623423822422,0.9792,5.89280373080327,NA,NA,NA,153.186274509804,NA
"5",2022-09-23,40,2.5,2.84,1.34607810961602,-1.34607810961602,378.146373482114,300.351748233037,-0.091573869152696,135.518783758184,119.294704012486,1.136,4.84588119461767,NA,NA,NA,136.443661971831,NA
"6",2022-09-26,40,2.5,2.816,2.03125,-2.03125,485.562500000001,242.138425816615,-0.032981506841548,182.771713501829,162.261819515118,1.1264,7.3125,NA,NA,NA,137.606534090909,NA
"7",2022-09-27,40,2.5,2.316,1.32954545454546,-1.32954545454546,375.579545454546,155.473147860149,1.31810270854702e-16,155.47314786015,167.825073251457,0.9264,4.78636363636366,NA,NA,NA,156.519861830743,NA
"8",2022-10-04,40,2.5,2.764,1.06608280254777,-1.06608280254777,355.174363057325,240.013587068788,-0.031484154699081,183.342108610442,165.830416615812,1.1056,3.83789808917197,NA,NA,NA,153.762662807525,NA
"9",2022-10-13,40,2.5,3.256,1.421875,-1.421875,362.875000000001,155.473147860151,-2.28855040251702e-16,155.47314786015,119.374345715717,1.3024,5.11875,NA,NA,NA,115.17199017199,NA
"10",2022-10-20,40,2.5,3.06,1.65689362733221,-1.65689362733221,410.705597286165,155.473147860151,-2.28855040251702e-16,155.47314786015,127.020545637378,1.224,5.96481705839596,NA,NA,NA,126.633986928105,NA
"11",2022-11-08,40,2.5,2.992,2.11038961038961,-2.11038961038961,437.294372294372,155.473147860151,-2.28855040251702e-16,155.47314786015,129.907376220045,1.1968,7.5974025974026,NA,NA,NA,108.622994652406,NA
"12",2022-11-15,40,2.5,3.448,0.928886875778509,-0.928886875778509,317.937643905938,155.473147860151,-2.28855040251702e-16,155.47314786015,112.727050362638,1.3792,3.34399275280263,NA,NA,NA,94.2575406032483,NA
"13",2022-11-24,40,2.5,2.772,1.85004775549189,-1.85004775549189,390.729703915951,265.057187237816,-0.104127186697338,77.6282511826078,70.0110490463634,1.1088,6.6601719197708,NA,NA,NA,117.243867243867,216.450216450216
"14",2022-11-24,100,1,2.772,0.270234986945171,-0.270234986945171,364.165796344648,463.039592540011,6.65576520086025e-16,463.039592540012,167.041700050509,2.772,0.972845953002616,NA,NA,NA,117.243867243867,216.450216450216
"15",2022-11-28,40,2.5,3.624,1.34607810961602,-1.34607810961602,378.146373482114,155.473147860151,-2.83582344772263e-16,155.47314786015,107.252447475269,1.4496,4.84588119461767,3.30291894963892,NA,NA,106.926048565121,220.75055187638
"16",2022-11-28,100,1,3.624,0.039037715897075,-0.039037715897075,304.163024321467,994.261992032924,-0.104067368399895,806.940728913114,222.665764048873,3.624,0.14053577722947,0.542982590252351,NA,NA,106.926048565121,220.75055187638
"17",2022-12-05,100,1,3.174,0.042920309631094,-0.042920309631094,309.537639391594,770.606037219881,-3.28340621936011e-15,770.606037219875,242.7870312602,3.174,0.154513114671938,0.788970457828112,NA,NA,114.209199747952,235.349716446125
"18",2022-12-05,40,2.5,3.174,1.25767334137839,-1.25767334137839,362.203628008915,155.47314786015,2.29050197283496e-16,155.47314786015,122.458371030364,1.2696,4.5276240289622,3.83537516192503,NA,NA,114.209199747952,235.349716446125
"19",2022-12-12,100,1,3.42,0.01650816570868,-0.01650816570868,292.702324764952,985.733094101269,-0.051143122496276,893.675473607972,261.308618014027,3.42,0.059429396551248,0.643206608240081,NA,NA,131.578947368421,264.619883040936
"20",2022-12-12,40,2.5,3.42,1.2154046997389,-1.2154046997389,353.677545691906,155.47314786015,2.29253841860778e-16,155.47314786015,113.649961886075,1.368,4.37545691906004,3.5344655560761,NA,NA,131.578947368421,264.619883040936
"21",2022-12-22,40,2.5,3.792,1.15714285714286,-1.15714285714286,375.285714285715,350.208250711679,-0.078959947108139,208.08034591703,137.183772360911,1.5168,4.1657142857143,3.12366804188488,NA,NA,131.856540084388,247.89029535865
"22",2023-01-03,40,3,5.124,0.943864229765015,-0.943864229765015,410.373368146215,438.619846589085,-0.090387566225704,275.922227382817,161.546971535607,2.0496,3.39791122715405,NA,0.236793216131582,NA,140.515222482436,189.305230288837
"23",2023-01-09,100,1,4.328,0.018588907352808,-0.018588907352808,307.903087625598,1010.32961465302,-0.030248706984724,955.88194208052,220.859968133207,4.328,0.0669200664701088,NA,0.000521456525842488,NA,155.961182994455,226.432532347505
"24",2023-01-18,40,2.5,3.1,1.22704577391096,-1.22704577391096,370.388614823452,338.043666064012,-0.104064358049993,150.727821574024,121.554694817761,1.24,4.41736478607946,NA,2.08234930884953,NA,185,300
"25",2023-01-18,100,1,3.1,0.020295445858041,-0.020295445858041,295.041459526443,994.724641328112,-0.060232591298263,886.305976991238,285.905153868141,3.1,0.0730636050889476,NA,0.0141044254985554,NA,185,300
"26",2023-01-23,100,1,3.412,0.0177763396189,-0.0177763396189,298.00463085502,986.386200740821,-0.047781818549451,900.378927351809,263.88596932937,3.412,0.06399482262804,NA,0.0061022486458176,NA,143,267
"27",2023-01-23,40,2.5,3.412,1.32337520672789,-1.32337520672789,360.932193250994,306.996891843097,-0.062562707187203,194.384018906131,142.426743043765,1.3648,4.7641507442204,NA,1.4893863953187,NA,143,267
"28",2023-01-31,100,1,4.456,0.01231504617056,-0.01231504617056,305.689186311787,946.358291322651,3.80395841825465e-16,946.358291322652,212.378431625371,4.456,0.044334166214016,NA,NA,0.0402399373090407,140,213
"29",2023-01-31,40,2.5,4.456,0.943864229765015,-0.943864229765015,384.259791122716,434.650042181236,-0.087515404223482,277.122314578968,155.477061590534,1.7824,3.39791122715405,NA,NA,1.94266813869149,140,213
"30",2023-02-07,100,1,3.308,0.030597807318633,-0.030597807318633,296.188379270269,1002.50292439004,-0.099959881142299,822.575138333907,248.662375554385,3.308,0.110152106347079,NA,NA,0.212631797328435,136,272
"31",2023-02-07,40,2.5,3.308,1.62090680100756,-1.62090680100756,395.804785894207,283.459297642751,-0.062228824683826,171.447413211864,129.570294144395,1.3232,5.83526448362722,NA,NA,3.78082854640981,136,272
"32",2023-02-14,40,2.5,5.372,0.324502710132525,-0.324502710132525,357.103361083016,704.105355789264,-0.170724431254399,396.801379531345,184.661848255466,2.1488,1.16820975647709,NA,NA,1.14196422763315,137.285927029039,182.427401340283
"33",2023-02-21,40,2.5,5.572,0.538848734040251,-0.538848734040251,336.468050205583,527.67606779311,-0.117107207653303,316.883094017165,142.176549720551,2.2288,1.9398554425449,NA,NA,1.01688361893924,145.369705671213,175.879396984925
"34",2023-02-28,40,2.5,5.476,0.630967020681945,-0.630967020681945,349.502627166014,441.355933438871,-0.0886450456206591,281.794851321684,128.649950384261,2.1904,2.271481274455,NA,NA,1.07511333982239,139.700511322133,178.962746530314
